calibration matrix
2.092170325e-052.075459861e-06-0.0001237455581 0.0018314589989.768552991e-05-0.001971137477
5.124925156e-05-0.002249530517-1.26194318e-05 0.001056803158-9.619503544e-05 0.001130404533
 0.003139268607-4.546073342e-06 0.0031623039399.619491902e-05 0.003191073425-8.41634901e-05
8.311299666e-07-1.203265583e-054.600780085e-057.206144801e-06-4.656558667e-05 6.99543898e-06
-5.152136509e-05-1.205482221e-072.738934381e-05-9.003978448e-062.533828956e-051.002119825e-05
 7.50570905e-07-2.735447015e-051.940409675e-06-2.561574911e-051.249816364e-06-2.76453502e-05
             Fx             Fy             Fz             Tx             Ty             Tz
    111.4753952   -64.94656372    213.9223328    2.650818348    1.179649115   -3.156542301
    111.4933167   -64.99254608    214.7223663    2.649185181    1.181206584   -3.161038399
    111.4047623   -64.91222382    214.1873016    2.651961803    1.184559822   -3.157959461
    111.2842941    -64.9458313    213.7374725    2.659243107    1.188534617   -3.151937962
   -17.97351837    9.175955772    207.7849121    3.114359617    1.847302437   -4.956301689
   -17.97373962    9.172859192    208.1200104    3.110267639    1.845693231     -4.9545784
   -17.93597984    9.138741493    206.5682068    3.109236479    1.843613982      -4.943048
   -17.92983818    9.051392555    207.7679749    3.110431194    1.840921521   -4.955283165
    111.1231537   -65.09616089    215.4266815    2.656597853     1.18138504   -3.162173271
    111.1179123   -65.20603943    216.4065857    2.657833338    1.179561257   -3.167438269
   -18.05445671    8.918542862    208.9518127    3.115541935    1.836446404   -4.961472988
   -18.08777809    8.905490875    208.8213501    3.114893675    1.838633895   -4.960267067
   -18.08390808    8.931469917     207.975296    3.114660501    1.838179111   -4.953072548
    -18.0540123    8.991313934     205.949707    3.113084316    1.838711381   -4.938130379
   -18.05452347     8.97892189    207.2498932    3.112586498    1.839574099   -4.950746059
    111.0671539   -65.11478424    214.7279358    2.654408932     1.18407619   -3.154216528
    111.1277695    -65.1324234    215.7138672    2.653209686    1.184163451   -3.163425207
    111.1868057   -65.09186554    215.1139374    2.653159142     1.18189311   -3.159604311
     111.237175   -65.10242462    216.0763092    2.652435064    1.181225538   -3.166495562
    111.2728653   -65.05731201    215.7080383    2.651977062    1.181459904   -3.165009975
    111.2716675   -64.98926544    215.6897736    2.650653839    1.181298971   -3.166227579
    111.3258209    -64.9475708    214.5261383    2.649670839    1.179946303   -3.157619476
    111.3623123   -64.89467621    213.9608612     2.64882803    1.179389834   -3.153084278
    111.3814545   -64.92768097    213.9434204    2.646466494    1.179966092   -3.152939081
    111.3433914   -64.90264893    213.8819122    2.646710157    1.181057453   -3.152269363
   -17.85087013    9.149544716    207.4831085    3.103621483    1.840534091   -4.958462715
    111.3383331   -64.99861908    214.4662933    2.646033525    1.184990764    -3.15635848
